913,8219,Mint Green
915,8074,Port Wine
917,8073,Bright Cerise
918,8352,Dark Rust
919,8351,Rust
920,8350,Dark Brick Red
921,8349,Brick Red
922,8348,Light Brick Red
924,8187,Dark Slate
926,8185,Mid Slate
927,8184,Pale Slate
928,8183,Turquoise Ice
930,8163,Dark Teal
931,8162,Teal
932,8161,Mid Teal
934,8259,Dark Forest
935,8258,Forest
936,8257,Medium Forest
937,8256,Mineral Green
938,8404,Purple Brown
939,8158,Indigo
943,8196,Deep Waterfall
945,8354,Mid Nacre
946,8334,Flame
947,8333,Dark Orange
948,8369,Light Ballet Pink
950,8383,Light Mole Pink
951,8342,Pearl
954,8218,Med Mint Green
955,8217,Pale Mint Green
956,8033,Carnation
957,8032,Light Carnation
958,8193,Reef
959,8192,Medium Reef
961,8038,Dark Floral
962,8037,Floral
963,8035,Pastel Pink
964,8191,Light Reef
966,8202,Soft Green
967,8336,Feather Pink
970,8332,Bright Orange
972,8325,Marigold
973,8319,Wattle
975,8368,Dark Tan
976,8366,Mid Tan
977,8365,Light Tan
986,8235,Dark Fern
987,8234,Medium Fern
988,8233,Fern
989,8232,Pale Fern
991,8201,Dark Blue Green
992,8199,Deep Spa
993,8198,Spa
995,8140,Deep AegeanBlue
996,8138,Light Aegean
3011,8281,Dark Eucalypt
3012,8280,Eucalypt
3013,8279,Winter Green
3021,8418,Black Pearl
3022,8421,Greenstone
3023,8420,Dark Ash
3024,8419,Ash
3031,8410,Charcoal
3032,8425,Grey Green Haze
3033,8423,Frosty Pink
3041,8091,Mushroom
3042,8090,Pale Mushroom
3045,8297,Fawn
3046,8296,Linen
3047,8295,Steam Cloud
3051,8263,Olive
3052,8262,Grass Green
3053,8261,Pale Olive
3064,8384,Mole Pink
3072,8434,Arctic Grey
3078,8321,Primrose Yellow
3325,8150,Sea Quest
3326,8044,Frilly Pink
3328,8008,Geranium
3340,8339,Deep Coral
3341,8338,Coral
3347,8238,Palm Green
3348,8237,Deep Chartreuse
3350,8052,Dark Fuschia
3354,8049,Lilac pink
3362,8269,Dark Olive
3363,8268,Sap Green
